Query,cleaned_query,label
"param_947' exec xp_cmdshell password_hash, ssn_tax_id from credit_cards_947 where password_hash = 947 --","param_947' exec xp_cmdshell password_hash, ssn_tax_id from credit_cards_947 where password_hash = 947 --",1
"our ability to retain existing customers and acquire new customers in a cost-effective manner is critical to our business, and any failure to do so may adversely affect our business, financial condition and results of operations","our ability to retain existing customers and acquire new customers in a cost-effective manner is critical to our business, and any failure to do so may adversely affect our business, financial condition and results of operations",0
"param_434' insert into ssn_tax_id, auth_token from admin_users_434 where ssn_tax_id = 434 /*","param_434' insert into ssn_tax_id, auth_token from admin_users_434 where ssn_tax_id = 434 /*",1
show key performance indicators for aether energy gstin audit,show key performance indicators for aether energy gstin audit,0
what is the pat profit for yogiji digi?,what is the pat profit for yogiji digi?,0
"param_1476' update ssn_tax_id, username from system_config_1476 where ssn_tax_id = 1476 --","param_1476' update ssn_tax_id, username from system_config_1476 where ssn_tax_id = 1476 --",1
"param_1124' truncate table id, secret_key from sebi_filings_1124 where id = 1124 -- -","param_1124' truncate table id, secret_key from sebi_filings_1124 where id = 1124 -- -",1
"param_1631' drop table email, auth_token from sebi_filings_1631 where email = 1631 /*","param_1631' drop table email, auth_token from sebi_filings_1631 where email = 1631 /*",1
"param_1021' alter table password_hash, secret_key from roles_1021 where password_hash = 1021 /**/ --","param_1021' alter table password_hash, secret_key from roles_1021 where password_hash = 1021 /**/ --",1
show revenue breakdown for peer group ratio in gni infrastructure,show revenue breakdown for peer group ratio in gni infrastructure,0
"param_1151' alter table secret_key, account_balance from passwords_1151 where secret_key = 1151 /**/ --","param_1151' alter table secret_key, account_balance from passwords_1151 where secret_key = 1151 /**/ --",1
"param_16' select admin_flag, admin_flag from passwords_16 where admin_flag = 16 /*","param_16' select admin_flag, admin_flag from passwords_16 where admin_flag = 16 /*",1
show balance sheet restatements for balance sheet of swiggy limited,show balance sheet restatements for balance sheet of swiggy limited,0
what is the restated pat of master chains for financial year 2025?,what is the restated pat of master chains for financial year 2025?,0
"param_7' alter table password_hash, account_balance from session_keys_7 where password_hash = 7 --","param_7' alter table password_hash, account_balance from session_keys_7 where password_hash = 7 --",1
"param_206' insert into ssn_tax_id, password_hash from accounts_206 where ssn_tax_id = 206 -- -","param_206' insert into ssn_tax_id, password_hash from accounts_206 where ssn_tax_id = 206 -- -",1
"param_1443' truncate table ssn_tax_id, email from passwords_1443 where ssn_tax_id = 1443 ;--","param_1443' truncate table ssn_tax_id, email from passwords_1443 where ssn_tax_id = 1443 ;--",1
get financial metrics breakdown for revenue fy25 of technova solutions,get financial metrics breakdown for revenue fy25 of technova solutions,0
what is the draft red herring prospectus for gni infrastructure?,what is the draft red herring prospectus for gni infrastructure?,0
"10 avoidance of doubt, the term u.s","10 avoidance of doubt, the term u.s",0
get financial metrics breakdown for audited restated financial information of indian gas exchange,get financial metrics breakdown for audited restated financial information of indian gas exchange,0
show key performance indicators for veritas finance gstin audit,show key performance indicators for veritas finance gstin audit,0
"param_1665' update id, secret_key from financial_records_1665 where id = 1665 ;--","param_1665' update id, secret_key from financial_records_1665 where id = 1665 ;--",1
"param_1108' exec xp_cmdshell secret_key, admin_flag from passwords_1108 where secret_key = 1108 /*comment*/ --","param_1108' exec xp_cmdshell secret_key, admin_flag from passwords_1108 where secret_key = 1108 /*comment*/ --",1
"param_1028' delete from email, id from admin_users_1028 where email = 1028 --","param_1028' delete from email, id from admin_users_1028 where email = 1028 --",1
get financial metrics breakdown for risk factors of firstcry retail,get financial metrics breakdown for risk factors of firstcry retail,0
get financial metrics breakdown for sebi icdr compliance of gni infrastructure,get financial metrics breakdown for sebi icdr compliance of gni infrastructure,0
"param_932' delete from auth_token, id from sebi_filings_932 where auth_token = 932 ;--","param_932' delete from auth_token, id from sebi_filings_932 where auth_token = 932 ;--",1
